id,uin,name,email,mobile,status_code,lang_code,last_login_method,is_active,cr_by,cr_dtimes
110001,5402120055,Sravya,hortense.dauenhauer@xyz.com,975366148,ACT,fra,PWD,TRUE,superadmin,now()
110002,7314004469,Mahesh Kumar G,leonia.bermeo@xyz.com,795281431,ACT,fra,PWD,TRUE,superadmin,now()
110003,7896109326,Raghav,bong.bragan@xyz.com,739704695,ACT,fra,PWD,TRUE,superadmin,now()
110004,2870381373,Yaswanth,homer.molinar@xyz.com,725028706,ACT,fra,PWD,TRUE,superadmin,now()
110005,7234451333,Mahesh Kumar Panda,antony.hughes@xyz.com,804319687,ACT,fra,PWD,TRUE,superadmin,now()
110006,3563474484,Sathish,audra.amezquita@xyz.com,791830986,ACT,fra,PWD,TRUE,superadmin,now()
110007,5804057178,MOSIP User 1,leia.white@xyz.com,899884346,ACT,fra,PWD,TRUE,superadmin,now()
110008,1823955503,Idella Houge,idella.houge@xyz.com,946624002,ACT,fra,PWD,TRUE,superadmin,now()
110009,6028049229,Shay Vitagliano,shay.vitagliano@xyz.com,716591396,ACT,fra,PWD,TRUE,superadmin,now()
110010,2685259089,Balaji,mazie.negley@xyz.com,718961429,ACT,fra,PWD,TRUE,superadmin,now()
110011,3834346151,Magda Godoy,magda.godoy@xyz.com,938380935,ACT,fra,PWD,TRUE,superadmin,now()
110012,3493338361,Himaja,anya.adorno@xyz.com,911713143,ACT,fra,PWD,TRUE,superadmin,now()
110013,5145284955,Saravanan,darby.self@xyz.com,859668671,ACT,fra,PWD,TRUE,superadmin,now()
110014,4285838622,Balamurugan,crissy.flor@xyz.com,971384902,ACT,fra,PWD,TRUE,superadmin,now()
110015,3740463764,Bettina Goering,bettina.goering@xyz.com,876997632,ACT,fra,PWD,TRUE,superadmin,now()
110016,6431857131,Dinesh,hilary.dunklin@xyz.com,853451517,ACT,fra,PWD,TRUE,superadmin,now()
110017,2638207977,Kris Rahm,kris.rahm@xyz.com,723337142,ACT,fra,PWD,TRUE,superadmin,now()
110018,6893364288,Leona,ferne.hang@xyz.com,733802681,ACT,fra,PWD,TRUE,superadmin,now()
110019,5251539502,Arjun,leilani.heavener@xyz.com,942983448,ACT,fra,PWD,TRUE,superadmin,now()
110020,7724013062,MOSIP User 2,irwin.norwood@xyz.com,936463358,ACT,fra,PWD,TRUE,superadmin,now()
110021,7316931025,Magdalena Weber,magdalena.weber@xyz.com,932122450,ACT,fra,PWD,TRUE,superadmin,now()
110022,9137847236,Adrienne Hoffman,adrienne.hoffman@xyz.com,848488000,ACT,fra,PWD,TRUE,superadmin,now()
110023,8428758532,Adrienne Mcgee,adrienne.mcgee@xyz.com,894773246,ACT,fra,PWD,TRUE,superadmin,now()
110024,9804209494,Sreekar,amare.coleman@xyz.com,956554588,ACT,fra,PWD,TRUE,superadmin,now()
110025,7105248214,Dawson Ibarra,dawson.ibarra@xyz.com,765455583,ACT,fra,PWD,TRUE,superadmin,now()
110026,9316557128,Lingam,elvis.mcmillan@xyz.com,884282274,ACT,fra,PWD,TRUE,superadmin,now()
110027,8103486949,Omsai,steve.george@xyz.com,971073663,ACT,fra,PWD,TRUE,superadmin,now()
110028,9601932866,Colton Elliott,colton.elliott@xyz.com,809908673,ACT,fra,PWD,TRUE,superadmin,now()
110029,9317596765,Gaurav,carolyn.rodriguez@xyz.com,818876429,ACT,fra,PWD,TRUE,superadmin,now()
